Time resolution is 1 ps
T=1000 | t=0001 | Reset=1 | State=xx | Count= x | next=x | g=x | o=x | G=xxxx | O=xxxx | R=xxxx
T=3000 | t=0001 | Reset=1 | State=00 | Count= 0 | next=0 | g=0 | o=0 | G=0000 | O=0000 | R=1111
T=5000 | t=0001 | Reset=0 | State=00 | Count= 0 | next=0 | g=0 | o=0 | G=0000 | O=0000 | R=1111
T=7000 | t=0001 | Reset=0 | State=00 | Count= 1 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=9000 | t=0001 | Reset=0 | State=00 | Count= 2 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=11000 | t=0001 | Reset=0 | State=00 | Count= 3 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=13000 | t=0001 | Reset=0 | State=00 | Count= 4 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=15000 | t=0001 | Reset=0 | State=00 | Count= 5 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=17000 | t=0001 | Reset=0 | State=00 | Count= 6 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=19000 | t=0001 | Reset=0 | State=00 | Count= 7 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=21000 | t=0001 | Reset=0 | State=00 | Count= 8 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=23000 | t=0001 | Reset=0 | State=00 | Count= 9 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=25000 | t=0001 | Reset=0 | State=00 | Count=10 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=27000 | t=0001 | Reset=0 | State=00 | Count=11 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=29000 | t=0001 | Reset=0 | State=00 | Count=12 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=31000 | t=0001 | Reset=0 | State=00 | Count=13 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=33000 | t=0001 | Reset=0 | State=00 | Count=14 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=35000 | t=0001 | Reset=0 | State=00 | Count=15 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=37000 | t=0001 | Reset=0 | State=00 | Count=16 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=39000 | t=0001 | Reset=0 | State=00 | Count=17 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=41000 | t=0001 | Reset=0 | State=00 | Count=18 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=43000 | t=0001 | Reset=0 | State=00 | Count=19 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=45000 | t=0001 | Reset=0 | State=00 | Count=20 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=47000 | t=0001 | Reset=0 | State=00 | Count=21 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=49000 | t=0001 | Reset=0 | State=00 | Count=22 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=51000 | t=0001 | Reset=0 | State=00 | Count=23 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=53000 | t=0001 | Reset=0 | State=00 | Count=24 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=55000 | t=0001 | Reset=0 | State=00 | Count=25 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=57000 | t=0001 | Reset=0 | State=00 | Count=26 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=59000 | t=0001 | Reset=0 | State=00 | Count=27 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=61000 | t=0001 | Reset=0 | State=00 | Count=28 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=63000 | t=0001 | Reset=0 | State=00 | Count=29 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=65000 | t=0001 | Reset=0 | State=00 | Count=30 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=67000 | t=0001 | Reset=0 | State=00 | Count=31 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=69000 | t=0001 | Reset=0 | State=00 | Count=32 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=71000 | t=0001 | Reset=0 | State=00 | Count=33 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=73000 | t=0001 | Reset=0 | State=00 | Count=34 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=75000 | t=0001 | Reset=0 | State=00 | Count=35 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=77000 | t=0001 | Reset=0 | State=00 | Count=36 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=79000 | t=0001 | Reset=0 | State=00 | Count=37 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=81000 | t=0001 | Reset=0 | State=00 | Count=38 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
T=83000 | t=0001 | Reset=0 | State=00 | Count=39 | next=0 | g=1 | o=0 | G=0001 | O=0000 | R=1110
